Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.PaymentCardNumber.VISA.Validator.Tests\DocumentNumber.PaymentCardNumber.VISA.Validator.Tests.csproj,File,tests\DocumentNumber.PaymentCardNumber.VISA.Validator.Tests\DocumentNumber.PaymentCardNumber.VISA.Validator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.PaymentCardNumber.VISAElectron.Generator.Tests\DocumentNumber.PaymentCardNumber.VISAElectron.Generator.Tests.csproj,File,tests\DocumentNumber.PaymentCardNumber.VISAElectron.Generator.Tests\DocumentNumber.PaymentCardNumber.VISAElectron.Generator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.PaymentCardNumber.VISAElectron.Validator.Tests\DocumentNumber.PaymentCardNumber.VISAElectron.Validator.Tests.csproj,File,tests\DocumentNumber.PaymentCardNumber.VISAElectron.Validator.Tests\DocumentNumber.PaymentCardNumber.VISAElectron.Validator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.Portugal.BankAccountNumber.Generator.Tests\DocumentNumber.Portugal.BankAccountNumber.Generator.Tests.csproj,File,tests\DocumentNumber.Portugal.BankAccountNumber.Generator.Tests\DocumentNumber.Portugal.BankAccountNumber.Generator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.Portugal.BankAccountNumber.Validator.Tests\DocumentNumber.Portugal.BankAccountNumber.Validator.Tests.csproj,File,tests\DocumentNumber.Portugal.BankAccountNumber.Validator.Tests\DocumentNumber.Portugal.BankAccountNumber.Validator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.Portugal.CitizenCard.Validator.Tests\DocumentNumber.Portugal.CitizenCard.Generator.Tests.csproj,File,tests\DocumentNumber.Portugal.CitizenCard.Validator.Tests\DocumentNumber.Portugal.CitizenCard.Generator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.Portugal.Nif.Generator.Tests\DocumentNumber.Portugal.Nif.Generator.Tests.csproj,File,tests\DocumentNumber.Portugal.Nif.Generator.Tests\DocumentNumber.Portugal.Nif.Generator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.Portugal.Niss.Generator.Tests\DocumentNumber.Portugal.Niss.Generator.Tests.csproj,File,tests\DocumentNumber.Portugal.Niss.Generator.Tests\DocumentNumber.Portugal.Niss.Generator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\Portugal.CitizenCard.Validator.Tests\Portugal.CitizenCard.Validator.Tests.csproj,File,tests\Portugal.CitizenCard.Validator.Tests\Portugal.CitizenCard.Validator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\Portugal.Nif.Validator.Tests\Portugal.Nif.Validator.Tests.csproj,File,tests\Portugal.Nif.Validator.Tests\Portugal.Nif.Validator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\Portugal.Niss.Validator.Tests\Portugal.Niss.Validator.Tests.csproj,File,tests\Portugal.Niss.Validator.Tests\Portugal.Niss.Validator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
